id,tconst,averageRating,numVotes
0,tt1480055,8.9,48686
1,tt1668746,8.6,36837
2,tt1829962,8.5,34863
3,tt1829963,8.6,33136
4,tt1829964,9.0,34436
5,tt1837862,9.1,34050
6,tt1837863,9.1,34564
7,tt1837864,8.9,32339
8,tt1851398,9.6,45134
9,tt1851397,9.4,39748
10,tt1971833,8.7,30970
11,tt2069318,8.4,29341
12,tt2070135,8.7,29009
13,tt2069319,8.6,28143
14,tt2074658,8.6,28288
15,tt2085238,8.9,29487
16,tt2085239,8.8,28723
17,tt2085240,8.6,28391
18,tt2084342,9.6,48712
19,tt2112510,9.3,34649
20,tt2178782,8.6,30474
21,tt2178772,8.5,27973
22,tt2178802,8.7,28267
23,tt2178798,9.5,38098
24,tt2178788,8.9,29009
25,tt2178812,8.7,28642
26,tt2178814,8.6,27800
27,tt2178806,8.9,28487
28,tt2178784,9.9,105772
29,tt2178796,9.1,31922
30,tt2816136,9.0,35206
31,tt2832378,9.7,54671
32,tt2972426,8.7,30302
33,tt2972428,8.7,29176
34,tt3060856,8.6,28409
35,tt3060910,9.7,52200
36,tt3060876,9.0,31309
37,tt3060782,9.7,54578
38,tt3060858,9.6,47217
39,tt3060860,9.6,46534
40,tt3658012,8.4,30881
41,tt3846626,8.4,27768
42,tt3866836,8.4,26962
43,tt3866838,8.6,27637
44,tt3866840,8.5,27845
45,tt3866842,7.9,31137
46,tt3866846,8.9,30148
47,tt3866850,9.8,101070
48,tt3866826,9.4,44291
49,tt3866862,9.1,43052
50,tt3658014,8.4,40426
51,tt4077554,9.3,47273
52,tt4131606,8.6,34624
53,tt4283016,9.0,37167
54,tt4283028,9.7,71869
55,tt4283054,8.3,34298
56,tt4283060,8.5,33463
57,tt4283074,8.3,37634
58,tt4283088,9.9,209542
59,tt4283094,9.9,148229
60,tt5654088,8.5,51288
61,tt5655178,8.8,44773
62,tt5775840,9.1,46912
63,tt5775846,9.7,88565
64,tt5775854,8.7,44506
65,tt5775864,9.0,64594
66,tt5775874,9.4,64462
67,tt5924366,7.6,132361
68,tt6027908,7.9,130844
69,tt6027912,7.5,215995
70,tt6027914,5.5,165067
71,tt6027916,6.0,192449
72,tt6027920,4.0,248318
